image_path,bbox
train_images/74192b5f-7e82-4636-9886-c2c1750d833a.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/13aa11f7-b15f-47d4-94c1-4ded9bc8ab16.png,"[[228.0, 627.0, 493.0, 837.0], [621.0, 511.0, 825.0, 760.0]]"
train_images/6766f51e-1b41-4320-b0dc-0c0cd97b6077.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/730b6928-fd01-4955-b4be-bca1e1e9306f.png,"[[627.0, 476.0, 743.0, 616.0]]"
train_images/cf13c527-ed56-4c9b-a1ac-27707e6f14da.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/71a17ca6-5e02-41af-9768-6b70349ddd1b.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/ae432160-dfe3-4545-8cae-a9f5bae69b71.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/bdb97b05-a8f7-4cdc-852f-f5398582eeb8.png,"[[177.0, 520.0, 442.0, 728.0], [668.0, 569.0, 903.0, 823.0]]"
train_images/342bd0cf-b337-40e9-8512-eb170292e2f2.png,"[[317.0, 519.0, 438.0, 646.0]]"
train_images/2a5752c7-6f90-4c5f-a5bd-9dd7736097ef.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/c6ffc89e-d5ca-4107-8d97-c4ea219465dd.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/ada57dae-a677-4d5e-a9b5-1143893e9154.png,"[[572.0, 308.0, 746.0, 681.0], [164.0, 295.0, 396.0, 652.0]]"
train_images/55754887-a552-47dd-a5c6-2d069da40136.png,"[[505.0, 191.0, 673.0, 687.0], [172.0, 146.0, 369.0, 673.0]]"
train_images/d9352f1f-4f89-4fa3-bbcd-4c5108ec09c9.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/5faf58cf-a01b-4b8a-8456-e63dedde1b68.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/f7a169e2-a1a7-439a-ab83-0d34cf5ae4b9.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/497c6936-eabe-436c-9def-6a4d129b12d3.png,"[[183.0, 275.0, 431.0, 607.0]]"
train_images/92afaac6-0b33-4fa9-9afc-2778f2d53054.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/9a5ebaf8-f562-456f-a1fa-e485ee712790.png,"[[641.0, 77.0, 947.0, 630.0], [303.0, 86.0, 571.0, 629.0]]"
train_images/b9c99ffa-21b9-4f54-8312-f3952ec4afdc.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/649895e4-23f6-4e75-baad-3210eadbd9fd.png,"[[336.0, 516.0, 506.0, 663.0]]"
train_images/7eeee94a-0afc-41eb-b1bc-4551e4815c59.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/aa1ab66a-081e-4c5f-a6b8-791a5182466e.png,"[[128.0, 486.0, 406.0, 796.0]]"
train_images/19a62d7a-3d7d-4b5b-8dca-3247af94f339.png,"[[262.0, 317.0, 421.0, 542.0]]"
train_images/cfe3d40b-4292-4de1-95b0-0c25f5048bcd.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/b99dd9a2-7611-4752-a972-11a231a1deaf.png,"[[626.0, 216.0, 866.0, 751.0], [264.0, 177.0, 463.0, 703.0]]"
train_images/3a6a506f-fe68-41e0-a769-36167b84f8d8.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/2b74be46-2b42-4baf-9c9c-cc253e766a56.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/e67852e9-5588-4d16-8d9c-d113eff3793b.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/5557ef6d-f13c-401a-9e2d-4d4800b3733f.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/b5a4e967-a8dc-40b1-88dd-a6685fdc26eb.png,"[[594.0, 382.0, 805.0, 604.0], [280.0, 419.0, 436.0, 576.0]]"
train_images/e047d647-ba4a-40cf-a44e-41b4a3982945.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/9131bb85-6251-4f0e-9ccb-4a4189f84087.png,"[[577.0, 540.0, 832.0, 759.0], [91.0, 410.0, 322.0, 676.0], [548.0, 212.0, 741.0, 390.0]]"
train_images/db4b7eb8-c6f8-4a1b-9698-10e28fc216da.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/43e81c37-160e-40ef-a5fb-29c425e2f46c.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/dbea6fb4-f4ce-4caa-a3ee-e5aa8b81f608.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/e907682a-e610-4ea7-a460-c9bb7fffecce.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/0da04332-a1fd-48a3-b13a-6cf38f8b9ee7.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/4c1d496c-1766-4324-b551-0126fd1b07f1.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/cfc035aa-7dc6-418a-a70d-21f0a924c6fb.png,"[[80.0, 282.0, 432.0, 751.0], [563.0, 325.0, 802.0, 642.0]]"
train_images/74b9d421-6209-4bed-a64e-eefe618d136b.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/f72a28ac-8488-4fa6-9024-b0243155905c.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/3330f82a-8a0b-4d69-a5a7-a2bee99c9405.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/0716e0cf-3822-406e-bfb2-c064cd471019.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/c469fa09-4aef-4baa-ae73-1596572cde1d.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/44e4beae-e4d8-432a-9d99-e21efc4664db.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/50f99f53-c703-4bda-b7b6-abd6be693c7a.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/eee71ceb-52d2-4d63-acaf-5eab6f8d8932.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/4181ded7-557b-4312-bada-062a0f466413.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/72dc0bc2-8c6a-4214-b06f-862e9e8444bd.png,"[[586.0, 859.0, 760.0, 964.0]]"
train_images/68f8a49a-7792-4e68-b41e-fcb8ce14ea8c.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/f03bbb81-68ae-44fe-9e96-a00a694e35d2.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/13b24a60-a6fe-48fc-92d2-3a3b008ce7c7.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/511bcf49-b973-4fb6-8e99-7cb8fc7ed0a6.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/f178cab2-d7e5-49e6-a548-74c08791d2bb.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/81ef1bce-9c23-49b0-b9fc-d8518a663336.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/b1ca99db-5739-41fc-8692-9d0ca2dccdc2.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/5e500103-5c23-426d-8470-5b754ef7dfbb.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/eb9fd705-1d3a-4740-925b-8fdf39eb82a5.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/de459db0-6f34-4e0e-997c-178cbb9dfc89.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/e1fadf03-ab88-43c6-9604-8f76b8d7b9c5.png,"[[0.0, 0.0, 0.0, 0.0]]"
train_images/f4baabee-9501-419a-839d-2377b97d848b.png,"[[0.0, 0.0, 0.0, 0.0]]"
